Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1793.039890423605
FDW14,OUT017,1400.066588540436
NCN55,OUT010,656.793810181583
FDQ58,OUT017,2581.9585763661407
FDY38,OUT027,6170.097455807042
FDH56,OUT046,1894.6507015688055
FDL48,OUT018,656.617982924121
FDC48,OUT027,2142.7221421459817
FDN33,OUT045,1586.4478805147626
FDA36,OUT017,3134.848037129322
FDT44,OUT017,1945.103159993284
FDQ56,OUT045,1382.530670738999
NCC54,OUT019,615.1141459905291
FDU11,OUT049,2117.332260185033
DRL59,OUT013,842.6900633598545
FDM24,OUT049,2578.742971611423
FDI57,OUT045,3458.476679814007
DRC12,OUT018,2940.3432382099577
NCM42,OUT027,2902.657547277316
FDA46,OUT010,524.8835069375718
FDA31,OUT013,2936.0341674495176
NCJ31,OUT035,4058.411825985758
FDG52,OUT046,788.6745181977872
NCL19,OUT019,335.2723851408805
FDS10,OUT035,2980.668817678494
FDX22,OUT010,502.8600100516951
NCF19,OUT035,774.0668335537614
NCE06,OUT046,2629.9949195899408
DRC27,OUT046,4149.010388395182
FDE21,OUT035,1919.1772386844561
NCR42,OUT019,73.50189409489258
FDX51,OUT018,3003.5486471426275
NCR06,OUT018,581.6094875059425
FDU31,OUT027,5851.69017242112
FDU59,OUT017,2687.0299971831046
FDR03,OUT027,5486.720584198069
FDS49,OUT027,2079.082651280134
FDD48,OUT010,314.2071103797168
NCF18,OUT017,3168.7031278770137
NCD43,OUT027,2667.7859788477526
NCD54,OUT018,1844.9388219974946
FDY19,OUT010,273.25225793760137
NCY54,OUT017,2973.524949827769
NCL19,OUT018,2126.908875363343
FDP23,OUT010,583.8400593344702
FDC26,OUT013,1793.0629868940987
FDR14,OUT010,125.09407314152668
NCS41,OUT035,3129.371836714253
FDF41,OUT035,4186.156216897276
FDU34,OUT046,2071.824436467854
DRH11,OUT046,935.159429884633
FDM03,OUT013,1730.0781689205771
FDS31,OUT017,3002.525710514351
FDJ20,OUT017,2009.8746988507103
FDV44,OUT027,5081.9508008487555
FDG02,OUT049,3139.512789454522
FDA09,OUT013,2999.766621516701
FDT04,OUT013,706.8852727764365
FDL58,OUT019,663.3806659430445
FDE52,OUT045,1506.5822905579867
FDW12,OUT035,2355.35402654444
FDL51,OUT017,3520.86840361346
NCY42,OUT027,3486.284325296904
FDR07,OUT017,1369.2356793254496
FDN40,OUT045,2550.087045576045
FDB35,OUT027,2511.3963303304163
FDA22,OUT017,2751.734641937668
NCL06,OUT046,3942.9440509941423
FDI35,OUT013,3045.8807119163685
NCW42,OUT045,3568.265144356048
NCX06,OUT049,3019.124936813427
FDC37,OUT027,3025.9918728285284
FDZ14,OUT018,1870.0221003102201
DRG49,OUT049,4099.893171520146
NCG06,OUT045,3916.5019763987834
DRC36,OUT045,2917.5790172223255
FDV21,OUT019,305.61647513404614
FDB53,OUT046,2479.994275724492
DRP47,OUT019,641.5832751757912
FDA14,OUT013,2328.314508245301
DRC24,OUT035,2587.090024955407
FDW21,OUT018,1460.3405762870127
NCH29,OUT046,1543.9550964874074
FDU58,OUT013,3134.481840223838
FDY27,OUT017,2929.257038859316
FDV56,OUT035,1866.9119170400102
FDT59,OUT046,3739.2790963014804
FDB23,OUT046,3701.013035490043
FDR49,OUT045,748.9657204157625
FDB03,OUT010,735.4993268688295
FDN39,OUT045,2687.7678798761854
FDX02,OUT027,5879.43643417469
FDQ16,OUT027,2857.7963180620864
FDU35,OUT018,1308.9487794756214
NCT29,OUT013,2076.1646753183904
FDZ27,OUT046,825.460537143259
FDN57,OUT017,2128.2452190849617
FDA03,OUT018,2227.2013951023337
FDZ36,OUT045,3110.511075662572
NCU05,OUT013,1289.1687051171525
FDT39,OUT018,2279.8016414746985
FDK60,OUT017,1513.0786585085943
FDZ25,OUT017,2939.228769768418
FDG12,OUT046,2133.059617726682
DRB01,OUT019,498.73878493039774
NCC43,OUT027,6279.23196442419
FDX13,OUT019,632.0031827198748
FDM22,OUT049,877.813086644006
FDJ03,OUT027,1381.1490715331129
FDU14,OUT018,3815.9533647076114
FDB33,OUT010,445.58016171929876
FDP27,OUT046,3140.115371027029
FDO38,OUT010,215.81761880296995
FDE28,OUT027,6174.328928253765
FDO27,OUT035,1498.2796504969642
DRL23,OUT027,2792.683292597376
FDS28,OUT046,905.3834385638452
FDX24,OUT013,1496.313456097956
FDZ02,OUT035,1604.682728428456
FDL46,OUT045,1764.8658774384087
FDS60,OUT027,4684.291587281288
NCO06,OUT017,667.9993878331738
FDO16,OUT035,1394.4227055021051
FDC60,OUT049,1404.6634678123924
FDA48,OUT018,3331.932302809261
FDZ36,OUT027,5075.807895253467
FDK27,OUT045,1978.0498630209145
FDW23,OUT018,565.8622275952296
FDM14,OUT018,1551.8207237300921
FDM14,OUT013,1781.4214922803317
FDW60,OUT018,2790.366520337339
FDE21,OUT013,1908.5127070915955
NCM42,OUT035,1836.2344198229653
FDY59,OUT010,226.65436222457947
DRI49,OUT049,1275.6293703431825
FDT28,OUT019,384.8160075521348
FDQ22,OUT018,571.9308380148968
FDR60,OUT049,1130.9500910994725
FDC50,OUT019,246.25785731420797
FDV24,OUT013,2550.9332881436217
DRF48,OUT010,585.9564985198485
FDQ47,OUT046,705.4488762376377
DRN36,OUT049,1560.208067683494
NCY06,OUT035,2105.843970013332
FDE52,OUT035,1553.1297990219148
NCB54,OUT045,2108.813208347833
NCF31,OUT035,2571.3636823441116
FDJ08,OUT027,5087.053428583709
NCC07,OUT017,1692.4442533146232
NCD19,OUT027,1443.265607060989
FDL46,OUT049,1835.4146334252248
FDM20,OUT045,4006.8886597385904
NCI06,OUT010,462.06071591617115
DRM11,OUT035,4038.500286306583
NCH07,OUT018,2333.1380763221878
FDS23,OUT013,2093.402105341131
FDO49,OUT018,674.1522995644298
FDS35,OUT049,1124.965359009105
DRK39,OUT045,1245.4434160636383
DRI39,OUT049,967.2157641148888
FDV04,OUT017,2536.491466246354
NCN14,OUT035,3092.0976585543644
FDH08,OUT013,3934.6644699522603
FDS20,OUT046,3082.7969805845087
FDV40,OUT049,1141.4274246591503
FDZ48,OUT010,272.8224696322852
FDS24,OUT027,2222.684692887357
FDK44,OUT049,2962.4028919903153
FDS48,OUT045,2523.5413729057827
FDK26,OUT010,517.3048268112177
FDD23,OUT045,3129.2860198942
NCH54,OUT017,2693.556861722116
NCP14,OUT010,295.2462067342367
FDM60,OUT010,19.074804031899475
FDV24,OUT017,2534.026350695638
FDH08,OUT018,3479.974072021544
FDS12,OUT027,3353.159093236115
FDR39,OUT027,4925.574830082836
FDP12,OUT027,1242.704047175986
DRF60,OUT027,6328.89872979979
FDC09,OUT035,1638.8654897177541
FDF50,OUT018,3113.6683862883606
FDG28,OUT035,4279.399732121091
NCE19,OUT017,904.3833791739696
NCM53,OUT010,277.39022388162584
NCN18,OUT049,1845.1543503170824
FDF32,OUT035,3409.3861470210036
FDF11,OUT013,4005.962467899755
DRI59,OUT049,3760.0048683650875
NCG54,OUT035,2927.2568755392017
FDM44,OUT046,1603.6098148606054
FDT57,OUT018,3532.3617159179635
FDV24,OUT046,2529.1467300663294
FDI50,OUT019,622.716423243887
FDS09,OUT035,886.8423035270744
NCC31,OUT027,4025.2079442879894
FDQ07,OUT019,552.8933811626528
FDC22,OUT017,3191.3507615119543
FDZ56,OUT046,2884.2711111492513
FDZ40,OUT019,123.00336845744368
FDS46,OUT027,3013.962352569344
DRD24,OUT045,2098.909803101592
FDV45,OUT017,3113.8588182292388
FDL26,OUT045,2571.6160142259105
FDA56,OUT018,1832.3888845628244
FDN27,OUT046,1772.5263933234085
FDM20,OUT049,4089.0362191433587
FDO16,OUT017,1365.8992447255355
FDL03,OUT035,3305.1008956083638
FDE58,OUT046,1920.166636530647
FDI02,OUT027,2996.1323295852208
NCC55,OUT019,68.32239802562208
FDR03,OUT018,3163.9162193720367
FDB14,OUT017,1396.899297460467
FDR45,OUT013,4148.756962768073
NCN07,OUT017,2079.378165224241
FDM51,OUT019,258.19443023567965
FDT52,OUT027,6372.298041299468
FDL26,OUT046,2558.063466249402
NCZ42,OUT046,3892.427551907732
DRI47,OUT019,401.41899339543625
FDW40,OUT013,2151.8902099603256
FDN34,OUT046,2913.577204100554
FDS01,OUT035,2988.0318163291317
NCG55,OUT045,1871.8189585825676
FDC11,OUT035,1388.9344825229475
FDX35,OUT018,3357.419946729995
NCB06,OUT046,2654.5647521340425
FDR09,OUT019,654.37705920299
FDC53,OUT017,1600.226198297435
FDY45,OUT013,4308.137079054628
FDA22,OUT010,477.0025981889971
FDE02,OUT035,1517.2337299210967
FDW21,OUT045,1662.7036036414447
FDV34,OUT046,1154.1910006637884
FDS59,OUT049,1809.0387485951899
NCW17,OUT017,2154.7956732733087
NCK54,OUT046,1861.676790458752
FDG17,OUT019,721.2278875823336
FDG35,OUT017,2860.403121278835
FDD08,OUT010,21.373846127208708
NCO07,OUT017,3483.8389737794714
FDJ10,OUT010,371.8818794682818
FDW36,OUT017,1686.1101948114147
FDW21,OUT010,257.693049040367
FDY19,OUT017,1928.6825282958275
DRE03,OUT013,760.9636331441457
NCC55,OUT049,776.0478614356014
FDH52,OUT010,142.49492475352235
FDO09,OUT017,4041.533698098204
FDU43,OUT045,3946.8092496547984
FDX09,OUT010,455.6656568841154
FDH40,OUT019,202.98859055215235
FDW58,OUT017,1711.3610334012087
FDC47,OUT017,3846.425496629402
NCR41,OUT035,1515.4596115317247
DRG49,OUT035,4163.045387824155
FDC52,OUT027,4094.6744911980513
FDY13,OUT046,1169.2418837718171
FDY35,OUT013,753.2243434192435
FDI35,OUT017,3156.3455842291987
NCU18,OUT049,2138.4857978069736
FDY33,OUT018,2422.0571494162737
FDC15,OUT027,4017.664082963748
FDU01,OUT049,3092.519732416798
NCU42,OUT046,2892.7712806416566
